Date,Infl. 12 m,Infl. 12 m suav.
02/01/2002,4.7300,4.6800
03/01/2002,4.7100,4.6200
04/01/2002,4.6900,4.6200
07/01/2002,4.6600,4.5800
08/01/2002,4.6600,4.5900
09/01/2002,4.6500,4.5900
10/01/2002,4.6500,4.5900
11/01/2002,4.6100,4.8100
14/01/2002,4.6100,4.8200
15/01/2002,4.6200,4.8300
16/01/2002,4.6200,4.8600
17/01/2002,4.6200,4.8300
18/01/2002,4.7500,4.8100
21/01/2002,4.8300,4.8300
22/01/2002,4.8300,4.8400
23/01/2002,4.8300,4.8400
24/01/2002,4.8000,4.6700
25/01/2002,4.7700,4.6500
28/01/2002,4.8200,4.8800
29/01/2002,4.8000,4.7700
30/01/2002,4.8200,4.7200
31/01/2002,4.8300,4.7100
01/02/2002,4.8300,4.7000
04/02/2002,4.8000,4.6600
05/02/2002,4.8300,4.6600
06/02/2002,4.8000,4.6500
07/02/2002,4.8000,4.6400
08/02/2002,4.6400,4.6400
11/02/2002,4.6400,4.6300
13/02/2002,4.6400,4.6300
14/02/2002,4.6200,4.6300
15/02/2002,4.6200,4.6200
18/02/2002,4.6200,4.6200
19/02/2002,4.6300,4.6200
20/02/2002,4.6300,4.6200
21/02/2002,4.6300,4.6200
22/02/2002,4.6700,4.6700
25/02/2002,4.6700,4.6700
26/02/2002,4.6700,4.6600
27/02/2002,4.6700,4.6600
28/02/2002,4.7200,4.6500
01/03/2002,4.7500,4.6400
04/03/2002,4.7500,4.6300
05/03/2002,4.7500,4.6200
06/03/2002,4.7500,4.6200
07/03/2002,4.7700,4.6300
08/03/2002,4.7600,4.6200
11/03/2002,4.7600,4.6100
12/03/2002,4.6200,4.6600
13/03/2002,4.7000,4.7400
14/03/2002,4.7800,4.8000
15/03/2002,4.8100,4.8100
18/03/2002,4.8000,4.7700
19/03/2002,4.7600,4.7600
20/03/2002,4.8000,4.7400
21/03/2002,4.8100,4.7200
22/03/2002,4.8700,4.7700
25/03/2002,4.9000,4.8200
26/03/2002,4.9000,4.8200
27/03/2002,4.9100,4.8400
28/03/2002,4.9200,4.8100
01/04/2002,4.9200,4.8000
02/04/2002,4.9400,4.8000
03/04/2002,5.0100,4.8300
04/04/2002,5.0800,4.9100
05/04/2002,5.1000,4.9300
08/04/2002,5.1000,4.9100
09/04/2002,5.1000,4.9000
10/04/2002,4.9000,4.9100
11/04/2002,4.9000,4.8900
12/04/2002,4.9200,4.8800
15/04/2002,4.9300,4.8600
16/04/2002,4.9200,4.8500
17/04/2002,4.9100,4.8300
18/04/2002,4.9100,4.8100
19/04/2002,4.9000,4.7500
22/04/2002,4.8700,4.7000
23/04/2002,4.9100,4.6800
24/04/2002,4.9200,4.6700
25/04/2002,4.9200,4.6600
