Date,Infl. 12 m,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.
02/01/2019,3.6500,3.9300,,
03/01/2019,3.6500,3.9400,,
04/01/2019,3.6500,3.9600,,
07/01/2019,3.6600,3.9800,,
08/01/2019,3.6600,3.9900,,
09/01/2019,3.6600,4.0000,,
10/01/2019,3.6600,4.0100,,
11/01/2019,4.0200,4.0500,,
14/01/2019,4.0100,4.0400,,
15/01/2019,4.0100,4.0300,,
16/01/2019,4.0200,4.0500,,
17/01/2019,4.0100,4.0400,,
18/01/2019,4.0100,4.0200,,
21/01/2019,4.0100,4.0300,,
22/01/2019,4.0100,4.0300,,
23/01/2019,4.0000,4.0300,,
24/01/2019,4.0000,4.0300,,
25/01/2019,4.0000,4.0300,,
28/01/2019,4.0000,4.0300,,
29/01/2019,4.0000,4.0300,,
30/01/2019,4.0000,4.0300,,
31/01/2019,4.0000,4.0300,,
01/02/2019,3.9400,3.9900,,
04/02/2019,3.9300,4.0000,,
05/02/2019,3.9300,4.0000,,
06/02/2019,3.9300,4.0000,,
07/02/2019,3.9300,3.9900,,
08/02/2019,3.9900,4.0000,,
11/02/2019,4.0000,4.0100,,
12/02/2019,4.0100,4.0200,,
13/02/2019,4.0100,4.0100,,
14/02/2019,3.9900,4.0100,,
15/02/2019,3.9900,4.0200,,
18/02/2019,3.9900,4.0300,,
19/02/2019,3.9900,4.0300,,
20/02/2019,3.9900,4.0300,,
21/02/2019,3.9800,4.0300,,
22/02/2019,3.9700,4.0100,,
25/02/2019,3.9700,4.0200,,
26/02/2019,3.9700,4.0300,,
27/02/2019,3.9700,4.0300,,
28/02/2019,3.9800,4.0400,,
01/03/2019,3.9900,4.0400,,
06/03/2019,3.9900,4.0500,,
07/03/2019,3.9800,4.0400,,
08/03/2019,3.9700,4.0500,,
11/03/2019,3.9700,4.0600,,
12/03/2019,4.0600,4.0600,,
13/03/2019,4.0600,4.0600,,
14/03/2019,4.0300,4.0300,,
15/03/2019,4.0100,3.9900,,
18/03/2019,4.0100,3.9800,,
19/03/2019,4.0100,3.9700,,
20/03/2019,4.0100,3.9600,,
21/03/2019,4.0100,3.9600,,
22/03/2019,4.0100,3.9600,,
25/03/2019,4.0100,3.9300,,
26/03/2019,4.0100,3.9200,,
27/03/2019,4.0100,3.9100,,
28/03/2019,4.0100,3.9100,,
29/03/2019,4.0000,3.8900,,
01/04/2019,4.0000,3.8600,,
02/04/2019,4.0000,3.8500,,
03/04/2019,3.9800,3.8400,,
04/04/2019,3.9900,3.8400,,
05/04/2019,4.0000,3.8300,,
08/04/2019,4.0000,3.7900,,
09/04/2019,4.0000,3.7800,,
10/04/2019,3.7800,3.7700,,
11/04/2019,3.7800,3.7600,,
12/04/2019,3.7600,3.7400,,
15/04/2019,3.7400,3.7200,,
16/04/2019,3.7400,3.7200,,
17/04/2019,3.7400,3.7200,,
18/04/2019,3.7200,3.6700,,
22/04/2019,3.7200,3.6400,,
23/04/2019,3.7200,3.6200,,
24/04/2019,3.7200,3.6100,,
25/04/2019,3.7200,3.6100,,
26/04/2019,3.7200,3.6000,,
29/04/2019,3.7200,3.6000,,
30/04/2019,3.7200,3.6000,,
02/05/2019,3.7400,3.5800,,
03/05/2019,3.7600,3.5900,,
06/05/2019,3.7700,3.5600,,
07/05/2019,3.7800,3.5600,,
08/05/2019,3.7800,3.5500,,
09/05/2019,3.7800,3.5400,,
10/05/2019,3.5500,3.5500,,
13/05/2019,3.5600,3.5700,,
14/05/2019,3.5600,3.5700,,
15/05/2019,3.5800,3.5800,,
16/05/2019,3.5600,3.5800,,
17/05/2019,3.5700,3.5800,,
20/05/2019,3.5600,3.5700,,
21/05/2019,3.5600,3.5600,,
22/05/2019,3.5600,3.5600,,
23/05/2019,3.5500,3.5600,,
24/05/2019,3.5500,3.5600,,
27/05/2019,3.5500,3.5700,,
28/05/2019,3.5500,3.5800,,
29/05/2019,3.5500,3.5800,,
30/05/2019,3.5500,3.5800,,
31/05/2019,3.5500,3.5800,,
03/06/2019,3.5500,3.5900,,
04/06/2019,3.5500,3.5900,,
05/06/2019,3.5500,3.5800,,
06/06/2019,3.5500,3.6000,,
07/06/2019,3.5900,3.5900,,
10/06/2019,3.5400,3.5700,,
11/06/2019,3.5300,3.5600,,
12/06/2019,3.5600,3.5900,,
13/06/2019,3.5600,3.6000,,
14/06/2019,3.5300,3.5700,,
17/06/2019,3.5200,3.5700,,
18/06/2019,3.5100,3.5600,,
19/06/2019,3.5200,3.6000,,
21/06/2019,3.4700,3.5600,,
24/06/2019,3.4700,3.6300,,
25/06/2019,3.5000,3.6500,,
26/06/2019,3.5000,3.6600,,
27/06/2019,3.5000,3.6700,,
28/06/2019,3.5000,3.6800,,
01/07/2019,3.4800,3.6700,,
02/07/2019,3.4800,3.6700,,
03/07/2019,3.4800,3.6700,,
04/07/2019,3.4800,3.6800,,
05/07/2019,3.4800,3.6800,,
08/07/2019,3.4800,3.7100,,
09/07/2019,3.4800,3.7200,,
10/07/2019,3.7100,3.7100,,
11/07/2019,3.7200,3.7100,,
12/07/2019,3.7100,3.7100,,
15/07/2019,3.7000,3.6900,,
16/07/2019,3.6900,3.6800,,
17/07/2019,3.6800,3.6800,,
18/07/2019,3.7100,3.7100,,
19/07/2019,3.6800,3.6800,,
22/07/2019,3.7100,3.7000,,
23/07/2019,3.6900,3.6900,,
24/07/2019,3.6900,3.6500,,
25/07/2019,3.6900,3.6900,,
26/07/2019,3.6800,3.6800,,
29/07/2019,3.6800,3.6700,,
