Date,"Industria Geral, com Ajuste (2022=100)                                          "
Jan-02,90.77394
Feb-02,92.74536
Mar-02,92.44685
Apr-02,92.60693
May-02,92.58792
Jun-02,92.84222
Jul-02,93.20652
Aug-02,92.37076
Sep-02,92.73243
Oct-02,93.14023
Nov-02,93.02108
Dec-02,92.7112
Jan-03,93.05868
Feb-03,92.64431
Mar-03,92.44473
Apr-03,92.29938
May-03,90.94012
Jun-03,91.44546
Jul-03,90.64099
Aug-03,91.90913
Sep-03,94.53327
Oct-03,94.98237
Nov-03,95.97502
Dec-03,94.51718
Jan-04,96.38548
Feb-04,97.86623
Mar-04,98.48589
Apr-04,99.26207
May-04,100.12512
Jun-04,100.50215
Jul-04,101.21682
Aug-04,102.30943
Sep-04,102.68582
Oct-04,102.09948
Nov-04,102.05578
Dec-04,102.69571
Jan-05,103.24638
Feb-05,101.84251
Mar-05,102.83822
Apr-05,102.87626
May-05,106.43452
Jun-05,104.19472
Jul-05,103.5976
Aug-05,103.6814
Sep-05,102.96555
Oct-05,102.48186
Nov-05,103.44707
Dec-05,105.17228
Jan-06,105.63701
Feb-06,106.45305
Mar-06,105.87072
Apr-06,106.34841
May-06,107.08331
Jun-06,105.75071
Jul-06,106.57162
Aug-06,106.41823
Sep-06,105.17296
Oct-06,106.16329
Nov-06,107.55591
Dec-06,108.25263
Jan-07,108.01813
Feb-07,109.3736
Mar-07,110.81673
Apr-07,111.93977
May-07,112.20047
Jun-07,112.90762
Jul-07,112.53958
Aug-07,114.16397
Sep-07,112.842
Oct-07,116.04185
Nov-07,114.9478
Dec-07,115.26867
Jan-08,117.1876
Feb-08,116.88906
Mar-08,117.13921
Apr-08,117.24638
May-08,118.13052
Jun-08,119.62311
Jul-08,120.20637
Aug-08,118.83008
Sep-08,120.16257
Oct-08,116.88563
Nov-08,109.79333
Dec-08,97.65233
Jan-09,99.73449
Feb-09,102.07294
Mar-09,102.54293
Apr-09,103.8842
May-09,105.15808
Jun-09,106.66085
Jul-09,108.00185
Aug-09,109.69486
Sep-09,111.19407
Oct-09,113.61499
Nov-09,115.11317
Dec-09,115.57168
Jan-10,117.28625
Feb-10,117.08396
Mar-10,119.73942
Apr-10,120.19787
May-10,119.82599
Jun-10,119.35572
Jul-10,118.61041
Aug-10,118.33945
Sep-10,118.56178
Oct-10,118.21014
Nov-10,119.00205
Dec-10,119.6354
Jan-11,119.96544
Feb-11,121.44869
Mar-11,121.82258
Apr-11,118.70308
May-11,122.32468
Jun-11,120.08909
Jul-11,119.86147
Aug-11,118.92657
Sep-11,117.04712
Oct-11,115.76273
Nov-11,116.3019
Dec-11,119.37343
Jan-12,114.32268
Feb-12,115.18988
Mar-12,114.68203
Apr-12,114.60726
May-12,115.20503
Jun-12,115.43922
Jul-12,117.01116
Aug-12,119.55515
Sep-12,117.16317
Oct-12,118.89747
Nov-12,117.37178
Dec-12,118.04651
Jan-13,119.18357
Feb-13,115.77261
Mar-13,118.08827
Apr-13,120.03126
May-13,119.76164
Jun-13,120.22066
Jul-13,119.51763
Aug-13,119.86465
Sep-13,120.44128
Oct-13,119.11912
Nov-13,119.73626
Dec-13,115.52364
Jan-14,117.55918
Feb-14,118.04456
Mar-14,117.54062
Apr-14,116.61769
May-14,115.45299
Jun-14,112.17822
Jul-14,114.98212
Aug-14,115.41536
Sep-14,115.60571
Oct-14,115.77153
Nov-14,114.72179
Dec-14,111.48084
Jan-15,112.07362
Feb-15,111.09793
Mar-15,110.68484
Apr-15,108.53225
May-15,107.31038
Jun-15,106.45823
Jul-15,104.58883
Aug-15,105.02222
Sep-15,102.65011
Oct-15,102.50292
Nov-15,100.71552
Dec-15,99.20849
Jan-16,100.06764
Feb-16,99.0019
Mar-16,99.56055
Apr-16,99.59657
May-16,100.00119
Jun-16,98.63916
Jul-16,99.33932
Aug-16,97.47061
Sep-16,98.53223
Oct-16,97.1394
Nov-16,98.08853
Dec-16,99.71026
Jan-17,100.4551
Feb-17,101.61333
